company_name,sector,symbol
360 ONE WAM Ltd.,Financial Services,360ONE
3M India Ltd.,Diversified,3MINDIA
ABB India Ltd.,Capital Goods,ABB
ACC Ltd.,Construction Materials,ACC
ACME Solar Holdings Ltd.,Power,ACMESOLAR
AIA Engineering Ltd.,Capital Goods,AIAENG
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
AU Small Finance Bank Ltd.,Financial Services,AUBANK
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC
Aarti Industries Ltd.,Chemicals,AARTIIND
Aavas Financiers Ltd.,Financial Services,AAVAS
Abbott India Ltd.,Healthcare,ABBOTINDIA
Action Construction Equipment Ltd.,Capital Goods,ACE
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS
Adani Energy Solutions Ltd.,Power,ADANIENSOL
Adani Enterprises Ltd.,Metals & Mining,ADANIENT
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
Adani Power Ltd.,Power,ADANIPOWER
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL
Aditya Birla Real Estate Ltd.,Realty,ABREL
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC
Aditya Infotech Ltd.,Capital Goods,CPPLUS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK
Afcons Infrastructure Ltd.,Construction,AFCONS
Affle 3i Ltd.,Information Technology,AFFLE
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
Alkem Laboratories Ltd.,Healthcare,ALKEM
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M
Amber Enterprises India Ltd.,Consumer Durables,AMBER
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI
Anant Raj Ltd.,Realty,ANANTRAJ
Angel One Ltd.,Financial Services,ANGELONE
Anthem Biosciences Ltd.,Healthcare,ANTHEM
Anupam Rasayan India Ltd.,Chemicals,ANURAS
Apar Industries Ltd.,Capital Goods,APARINDS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Asian Paints Ltd.,Consumer Durables,ASIANPAINT
Aster DM Healthcare Ltd.,Healthcare,ASTERDM
Astral Ltd.,Capital Goods,ASTRAL
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG
Atul Ltd.,Chemicals,ATUL
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL
Avenue Supermarts Ltd.,Consumer Services,DMART
Axis Bank Ltd.,Financial Services,AXISBANK
BEML Ltd.,Capital Goods,BEML
BLS International Services Ltd.,Consumer Services,BLS
BSE Ltd.,Financial Services,BSE
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
Bajaj Finance Ltd.,Financial Services,BAJFINANCE
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN
Bandhan Bank Ltd.,Financial Services,BANDHANBNK
Bank of Baroda,Financial Services,BANKBARODA
Bank of India,Financial Services,BANKINDIA
Bank of Maharashtra,Financial Services,MAHABANK
Bata India Ltd.,Consumer Durables,BATAINDIA
Bayer Cropscience Ltd.,Chemicals,BAYERCROP
